date,temperature,precipitation,wind_speed,radiation,next_day_temp,will_rain
2014-02-16,4.6,0.0,18.9,9.39,6.4,0
2014-02-17,6.4,0.9,24.9,4.81,7.7,1
2014-02-18,7.7,3.7,22.0,6.02,6.6,0
2014-02-19,6.6,0.0,17.0,3.57,9.0,1
2014-02-20,9.0,3.1,26.6,2.98,5.6,0
2014-02-21,5.6,0.0,29.9,9.22,6.7,0
2014-02-22,6.7,0.0,22.5,8.81,9.5,0
2014-02-23,9.5,0.6,35.1,5.4,9.3,0
2014-02-24,9.3,0.0,28.1,7.15,8.3,1
2014-02-25,8.3,5.8,29.8,8.25,6.2,0
2014-02-26,6.2,0.0,20.0,10.2,6.9,1
2014-02-27,6.9,4.8,31.3,9.23,4.2,1
2014-02-28,4.2,9.8,17.7,3.08,4.5,0
2014-03-01,4.5,0.0,13.2,8.05,6.1,1
2014-03-02,6.1,6.7,32.7,4.9,5.3,1
2014-03-03,5.3,6.7,15.6,8.37,4.4,0
2014-03-04,4.4,0.1,13.1,8.46,5.6,0
2014-03-05,5.6,0.0,12.1,11.09,7.6,0
2014-03-06,7.6,0.0,22.2,9.63,9.1,0
2014-03-07,9.1,0.0,22.9,5.13,9.0,0
2014-03-08,9.0,0.0,21.2,9.72,10.4,0
2014-03-09,10.4,0.0,16.7,13.73,7.7,0
2014-03-10,7.7,0.0,20.3,11.08,6.9,0
2014-03-11,6.9,0.0,19.9,6.98,7.4,0
2014-03-12,7.4,0.0,13.3,13.49,7.1,0
2014-03-13,7.1,0.0,8.7,12.72,7.7,0
2014-03-14,7.7,0.0,18.3,12.99,10.0,0
2014-03-15,10.0,0.0,19.3,12.59,10.2,0
2014-03-16,10.2,0.0,18.9,14.64,9.5,0
2014-03-17,9.5,0.0,14.3,7.67,9.3,0
2014-03-18,9.3,0.3,31.0,9.28,9.5,0
2014-03-19,9.5,0.0,21.4,11.92,9.0,1
2014-03-20,9.0,2.1,34.8,9.78,8.0,1
2014-03-21,8.0,1.4,28.1,13.73,6.8,1
2014-03-22,6.8,2.2,29.5,15.02,5.1,0
2014-03-23,5.1,1.0,23.8,13.83,4.6,0
2014-03-24,4.6,0.0,21.4,12.97,6.2,1
2014-03-25,6.2,4.9,17.2,5.29,3.9,1
2014-03-26,3.9,2.3,18.5,11.69,4.7,1
2014-03-27,4.7,1.1,14.5,14.96,7.4,0
2014-03-28,7.4,0.0,17.2,13.26,11.0,0
2014-03-29,11.0,0.0,20.4,17.72,12.3,0
2014-03-30,12.3,0.0,12.7,15.79,12.7,0
2014-03-31,12.7,0.0,14.1,14.81,12.2,0
2014-04-01,12.2,0.4,12.1,16.52,12.9,0
2014-04-02,12.9,0.8,17.9,12.36,12.8,0
2014-04-03,12.8,0.0,16.1,14.58,12.7,0
2014-04-04,12.7,0.0,14.5,12.71,10.5,0
2014-04-05,10.5,0.7,23.7,8.45,12.5,1
2014-04-06,12.5,4.0,30.8,5.16,12.6,1
2014-04-07,12.6,5.2,27.7,7.16,8.7,0
2014-04-08,8.7,0.1,27.7,15.47,9.1,0
2014-04-09,9.1,0.0,12.8,14.59,10.2,0
2014-04-10,10.2,0.0,9.0,15.44,11.2,0
2014-04-11,11.2,0.0,10.8,13.48,9.7,0
2014-04-12,9.7,0.0,21.1,15.7,11.2,0
2014-04-13,11.2,0.0,18.0,19.95,10.0,0
2014-04-14,10.0,0.0,21.7,18.32,7.1,0
2014-04-15,7.1,0.0,13.4,20.93,8.2,0
2014-04-16,8.2,0.0,12.3,22.69,10.8,0
2014-04-17,10.8,0.0,18.7,17.23,8.4,0
2014-04-18,8.4,0.0,18.0,15.93,7.9,0
2014-04-19,7.9,0.0,21.7,14.23,10.3,1
2014-04-20,10.3,8.1,25.8,9.98,11.5,1
2014-04-21,11.5,6.9,11.4,19.46,11.8,1
2014-04-22,11.8,3.5,20.4,14.69,11.6,1
2014-04-23,11.6,2.2,19.9,16.15,11.8,1
2014-04-24,11.8,1.8,9.4,11.31,10.9,1
2014-04-25,10.9,11.9,19.6,5.43,10.7,1
2014-04-26,10.7,2.3,25.6,12.13,10.7,1
2014-04-27,10.7,8.1,20.9,17.61,11.7,1
2014-04-28,11.7,3.4,14.8,16.03,11.4,1
2014-04-29,11.4,4.4,12.6,13.64,11.6,0
2014-04-30,11.6,0.0,13.6,17.54,10.2,1
2014-05-01,10.2,8.2,13.4,6.43,10.1,0
2014-05-02,10.1,0.0,22.2,11.6,8.2,0
2014-05-03,8.2,0.0,12.2,20.25,9.5,0
2014-05-04,9.5,0.0,10.3,19.02,11.6,0
2014-05-05,11.6,0.0,19.6,23.09,13.1,1
2014-05-06,13.1,1.2,19.8,19.49,12.1,0
2014-05-07,12.1,0.4,27.2,17.41,11.9,1
2014-05-08,11.9,5.1,27.7,3.28,12.8,0
2014-05-09,12.8,0.0,32.6,19.37,11.8,1
2014-05-10,11.8,5.8,35.9,15.66,10.6,1
2014-05-11,10.6,2.4,36.2,15.84,10.8,1
2014-05-12,10.8,1.7,20.6,21.55,10.6,1
2014-05-13,10.6,4.1,13.1,20.58,11.9,0
2014-05-14,11.9,0.0,13.9,21.01,13.0,0
2014-05-15,13.0,0.0,7.3,17.1,13.9,0
2014-05-16,13.9,0.0,8.2,19.68,16.0,0
2014-05-17,16.0,0.0,9.0,18.42,16.2,0
2014-05-18,16.2,0.0,14.9,26.83,18.3,0
2014-05-19,18.3,0.0,17.3,23.88,15.7,1
2014-05-20,15.7,2.1,18.4,14.66,14.0,1
2014-05-21,14.0,4.1,14.2,17.82,14.3,1
2014-05-22,14.3,7.9,22.0,20.11,13.6,0
2014-05-23,13.6,0.5,26.4,21.5,12.0,1
2014-05-24,12.0,7.5,19.9,17.25,12.9,0
2014-05-25,12.9,0.0,21.2,25.89,11.6,1
2014-05-26,11.6,12.6,16.3,9.75,11.9,1
2014-05-27,11.9,8.3,22.4,6.25,11.9,1
2014-05-28,11.9,3.8,19.6,2.71,14.7,1
2014-05-29,14.7,1.9,13.1,19.64,13.2,0
2014-05-30,13.2,0.0,16.6,11.12,13.2,0
2014-05-31,13.2,0.0,8.5,15.27,15.4,0
2014-06-01,15.4,0.0,8.2,17.05,15.4,0
2014-06-02,15.4,0.3,13.8,16.3,14.3,0
2014-06-03,14.3,0.6,14.1,12.76,12.5,1
2014-06-04,12.5,5.5,22.8,14.08,13.1,1
2014-06-05,13.1,2.6,22.1,24.5,15.1,0
2014-06-06,15.1,0.0,19.6,27.08,17.6,1
2014-06-07,17.6,5.3,16.9,18.81,17.2,0
2014-06-08,17.2,0.0,12.7,27.9,19.0,1
2014-06-09,19.0,2.8,15.2,22.83,16.6,0
2014-06-10,16.6,0.0,24.1,27.25,15.6,0
2014-06-11,15.6,0.0,14.3,18.42,17.5,0
2014-06-12,17.5,0.0,7.4,23.68,18.8,0
2014-06-13,18.8,0.0,9.7,21.74,17.1,1
2014-06-14,17.1,1.8,16.5,18.77,14.8,0
2014-06-15,14.8,0.0,20.0,10.95,14.1,0
2014-06-16,14.1,0.0,20.7,11.39,14.6,0
2014-06-17,14.6,0.0,19.7,24.08,15.5,0
2014-06-18,15.5,0.0,17.6,12.57,15.8,0
2014-06-19,15.8,0.5,18.5,19.62,14.9,0
2014-06-20,14.9,0.0,13.0,11.82,17.6,0
2014-06-21,17.6,0.0,14.0,24.14,18.1,0
2014-06-22,18.1,0.0,10.1,20.19,18.2,0
2014-06-23,18.2,0.0,6.7,18.35,17.8,0
2014-06-24,17.8,0.5,18.8,21.0,15.4,0
2014-06-25,15.4,0.0,15.5,23.09,15.6,1
2014-06-26,15.6,1.7,12.9,26.84,16.3,0
2014-06-27,16.3,0.7,19.6,17.73,15.4,1
2014-06-28,15.4,6.8,12.8,21.04,14.5,1
2014-06-29,14.5,1.3,19.1,20.84,14.9,1
2014-06-30,14.9,1.1,10.5,19.55,16.4,0
2014-07-01,16.4,0.0,13.0,22.25,17.0,0
2014-07-02,17.0,0.0,14.9,22.62,18.8,0
2014-07-03,18.8,0.0,20.2,29.13,18.8,0
2014-07-04,18.8,0.0,23.2,28.2,17.9,1
2014-07-05,17.9,4.4,20.6,13.82,16.6,0
2014-07-06,16.6,0.4,16.8,14.55,16.0,0
2014-07-07,16.0,0.1,13.7,22.44,16.1,1
2014-07-08,16.1,2.0,14.5,22.75,17.0,0
2014-07-09,17.0,0.0,28.6,19.34,15.5,1
2014-07-10,15.5,3.0,23.9,10.27,15.7,1
2014-07-11,15.7,5.3,18.6,7.29,18.4,0
2014-07-12,18.4,0.8,10.8,18.94,18.4,1
2014-07-13,18.4,4.9,18.6,13.56,17.1,0
2014-07-14,17.1,0.0,21.4,21.77,19.7,0
2014-07-15,19.7,0.3,17.3,16.59,19.8,0
2014-07-16,19.8,0.0,14.5,22.92,20.5,0
2014-07-17,20.5,0.0,17.0,17.74,22.8,0
2014-07-18,22.8,0.0,19.9,26.99,22.1,1
2014-07-19,22.1,7.8,13.4,15.76,20.4,1
2014-07-20,20.4,7.0,12.0,17.83,20.1,0
2014-07-21,20.1,0.3,14.8,17.23,19.6,0
2014-07-22,19.6,0.0,15.9,22.73,20.5,1
2014-07-23,20.5,1.4,20.4,20.75,20.9,0
2014-07-24,20.9,0.0,17.6,25.12,20.3,1
2014-07-25,20.3,1.3,17.1,19.99,21.7,0
2014-07-26,21.7,0.0,12.7,20.89,20.9,0
2014-07-27,20.9,0.0,15.2,22.09,18.1,1
2014-07-28,18.1,11.8,14.1,16.73,19.9,0
2014-07-29,19.9,0.0,16.6,21.76,19.0,0
2014-07-30,19.0,0.0,14.0,17.8,19.0,0
2014-07-31,19.0,0.0,15.3,19.69,18.8,0
2014-08-01,18.8,0.2,18.6,18.44,17.9,1
2014-08-02,17.9,3.1,21.6,14.61,17.0,0
2014-08-03,17.0,0.0,19.9,19.1,17.4,0
2014-08-04,17.4,0.1,12.3,18.28,18.0,0
2014-08-05,18.0,0.1,20.1,16.78,19.6,1
2014-08-06,19.6,8.0,18.5,18.46,18.9,0
2014-08-07,18.9,0.6,9.7,18.51,18.0,1
2014-08-08,18.0,16.8,17.6,8.16,17.4,1
2014-08-09,17.4,8.7,21.5,17.36,16.7,1
2014-08-10,16.7,15.7,34.0,10.55,15.7,1
2014-08-11,15.7,2.8,28.9,19.78,15.4,0
2014-08-12,15.4,0.8,25.5,17.57,16.1,0
2014-08-13,16.1,0.6,19.7,19.24,15.0,1
2014-08-14,15.0,12.5,15.3,14.72,14.9,0
2014-08-15,14.9,1.0,15.3,15.95,15.2,0
2014-08-16,15.2,0.0,22.0,14.71,15.3,0
2014-08-17,15.3,0.5,27.9,9.64,14.5,0
2014-08-18,14.5,0.5,22.1,16.23,13.1,0
2014-08-19,13.1,0.6,19.9,20.13,12.9,0
2014-08-20,12.9,0.0,15.2,17.88,12.9,0
2014-08-21,12.9,0.0,22.7,15.74,14.9,0
2014-08-22,14.9,0.1,17.7,17.33,13.1,0
2014-08-23,13.1,0.0,17.1,17.42,12.8,0
2014-08-24,12.8,0.0,10.5,15.03,14.0,1
2014-08-25,14.0,16.2,16.2,2.22,15.1,1
2014-08-26,15.1,6.7,19.8,4.11,15.9,0
2014-08-27,15.9,0.2,19.5,11.35,17.7,0
2014-08-28,17.7,0.6,22.7,13.44,16.4,0
2014-08-29,16.4,0.1,27.7,11.67,16.8,0
2014-08-30,16.8,0.0,22.8,9.25,15.6,0
2014-08-31,15.6,0.1,17.2,12.61,14.9,1
2014-09-01,14.9,1.4,15.1,3.03,16.2,0
2014-09-02,16.2,0.0,12.6,11.99,17.1,0
2014-09-03,17.1,0.1,15.6,12.7,17.0,0
2014-09-04,17.0,0.0,14.7,10.0,17.0,0
2014-09-05,17.0,0.1,9.8,8.99,16.8,0
2014-09-06,16.8,0.2,6.4,8.91,15.3,1
2014-09-07,15.3,1.5,9.2,11.3,15.2,0
2014-09-08,15.2,0.0,10.0,18.21,14.9,0
2014-09-09,14.9,0.0,10.2,11.34,14.7,0
2014-09-10,14.7,0.0,12.2,11.85,14.3,0
2014-09-11,14.3,0.0,11.8,8.76,15.9,0
2014-09-12,15.9,0.0,14.2,12.59,15.5,0
2014-09-13,15.5,0.1,17.4,10.08,15.9,0
2014-09-14,15.9,0.2,20.7,10.78,16.4,0
2014-09-15,16.4,0.0,14.3,10.14,17.1,0
2014-09-16,17.1,0.8,13.3,9.49,17.1,0
2014-09-17,17.1,0.0,19.5,11.01,18.8,0
2014-09-18,18.8,0.0,15.3,14.86,17.5,1
2014-09-19,17.5,7.0,8.6,9.4,16.7,0
2014-09-20,16.7,0.4,14.2,5.3,14.5,0
2014-09-21,14.5,0.0,20.1,10.86,12.4,0
2014-09-22,12.4,0.0,10.3,14.1,12.7,0
2014-09-23,12.7,0.0,11.1,10.85,13.7,1
2014-09-24,13.7,1.2,20.6,11.47,13.4,0
2014-09-25,13.4,0.0,19.0,10.39,16.9,0
2014-09-26,16.9,0.0,17.6,9.55,16.7,0
2014-09-27,16.7,0.0,6.0,8.76,17.2,0
2014-09-28,17.2,0.0,10.2,10.75,16.5,0
2014-09-29,16.5,0.1,13.8,9.8,16.4,0
2014-09-30,16.4,0.0,14.4,8.77,17.1,0
2014-10-01,17.1,0.2,16.9,8.57,15.9,1
2014-10-02,15.9,1.2,8.4,7.26,15.6,0
2014-10-03,15.6,0.0,16.7,7.12,13.3,1
2014-10-04,13.3,5.8,20.4,4.41,9.7,0
2014-10-05,9.7,0.0,12.3,11.99,10.9,1
2014-10-06,10.9,6.4,26.2,1.57,10.7,1
2014-10-07,10.7,2.7,26.3,11.17,12.5,1
2014-10-08,12.5,4.6,30.9,6.47,13.5,1
2014-10-09,13.5,1.7,35.6,9.71,12.6,1
2014-10-10,12.6,1.8,20.7,9.55,12.3,0
2014-10-11,12.3,1.0,14.8,8.23,10.5,1
2014-10-12,10.5,6.6,23.7,6.52,12.8,1
2014-10-13,12.8,17.5,28.7,1.68,12.5,0
2014-10-14,12.5,0.6,14.1,2.57,12.4,1
2014-10-15,12.4,11.2,16.4,3.87,13.8,1
2014-10-16,13.8,1.1,18.2,6.33,15.3,1
2014-10-17,15.3,2.4,22.5,6.68,17.5,0
2014-10-18,17.5,0.0,29.6,3.74,16.3,0
2014-10-19,16.3,0.0,27.8,6.74,13.8,0
2014-10-20,13.8,0.0,22.1,6.83,11.8,1
2014-10-21,11.8,1.3,38.5,7.17,10.0,0
2014-10-22,10.0,0.0,26.2,7.11,12.6,0
2014-10-23,12.6,0.2,21.2,4.0,14.4,1
2014-10-24,14.4,5.7,15.6,3.71,11.6,0
2014-10-25,11.6,0.0,19.0,6.14,12.0,0
2014-10-26,12.0,0.0,27.0,5.25,13.3,0
2014-10-27,13.3,0.0,23.1,8.22,13.4,0
2014-10-28,13.4,0.0,20.2,7.95,13.4,1
2014-10-29,13.4,3.4,14.8,0.77,14.8,0
2014-10-30,14.8,0.7,17.6,3.54,15.7,0
2014-10-31,15.7,0.0,18.9,7.03,14.8,0
2014-11-01,14.8,0.0,25.3,5.57,13.5,1
2014-11-02,13.5,7.9,29.5,2.72,9.1,1
2014-11-03,9.1,7.6,26.2,2.89,7.4,1
2014-11-04,7.4,3.2,11.8,6.8,6.7,1
2014-11-05,6.7,1.6,18.7,4.95,6.5,0
2014-11-06,6.5,0.1,26.7,4.87,10.7,1
2014-11-07,10.7,7.3,31.1,5.22,10.1,1
2014-11-08,10.1,5.3,32.3,2.63,8.6,1
2014-11-09,8.6,2.2,10.4,5.48,9.2,0
2014-11-10,9.2,0.6,23.6,5.16,10.9,1
2014-11-11,10.9,2.2,25.8,4.14,10.8,1
2014-11-12,10.8,1.6,20.9,4.47,11.0,0
2014-11-13,11.0,0.3,27.9,2.56,10.7,1
2014-11-14,10.7,10.4,25.2,1.95,8.5,0
2014-11-15,8.5,0.7,9.7,4.0,9.0,1
2014-11-16,9.0,4.0,10.8,2.57,8.1,1
2014-11-17,8.1,7.3,16.9,2.06,8.2,0
2014-11-18,8.2,0.0,12.6,4.51,8.3,0
2014-11-19,8.3,0.0,13.4,3.13,8.2,0
2014-11-20,8.2,0.0,13.0,3.6,7.9,1
2014-11-21,7.9,4.9,17.6,2.04,11.3,1
2014-11-22,11.3,4.6,13.8,1.72,8.9,1
2014-11-23,8.9,16.5,17.8,0.44,3.0,0
2014-11-24,3.0,0.0,10.6,3.77,5.0,1
2014-11-25,5.0,4.9,16.9,2.02,8.0,1
2014-11-26,8.0,2.3,10.1,0.66,9.1,1
2014-11-27,9.1,1.7,12.2,2.1,10.0,0
2014-11-28,10.0,0.2,20.8,2.94,8.6,0
2014-11-29,8.6,0.8,14.8,2.86,8.1,0
2014-11-30,8.1,0.0,18.9,3.02,6.7,0
2014-12-01,6.7,0.0,18.3,1.82,6.5,0
2014-12-02,6.5,0.0,28.9,0.56,6.6,0
2014-12-03,6.6,0.0,26.4,2.4,4.1,0
2014-12-04,4.1,0.0,16.1,0.76,4.1,0
2014-12-05,4.1,0.0,16.3,2.09,1.0,0
2014-12-06,1.0,0.0,14.1,4.25,5.7,0
2014-12-07,5.7,0.4,22.5,1.99,3.1,0
2014-12-08,3.1,0.0,21.3,4.02,3.5,0
2014-12-09,3.5,0.2,32.9,3.15,7.3,0
2014-12-10,7.3,0.7,33.2,4.01,6.3,0
2014-12-11,6.3,0.3,29.9,3.4,6.8,1
2014-12-12,6.8,8.7,41.9,1.87,1.2,0
2014-12-13,1.2,0.0,11.3,3.9,4.0,0
2014-12-14,4.0,0.4,24.8,3.08,6.0,0
2014-12-15,6.0,1.0,24.8,3.45,2.8,0
2014-12-16,2.8,0.4,14.8,3.59,9.9,1
2014-12-17,9.9,10.8,27.9,1.43,11.4,0
2014-12-18,11.4,0.0,30.0,0.78,9.0,1
2014-12-19,9.0,1.6,30.0,3.29,5.7,0
2014-12-20,5.7,0.0,24.8,3.56,6.9,0
2014-12-21,6.9,0.0,29.0,1.79,10.9,0
2014-12-22,10.9,0.0,32.2,1.31,10.4,0
2014-12-23,10.4,0.0,27.7,1.75,8.4,0
2014-12-24,8.4,0.6,28.9,2.45,3.9,0
2014-12-25,3.9,0.0,17.7,3.73,2.3,1
2014-12-26,2.3,10.3,24.4,1.56,2.9,1
2014-12-27,2.9,1.3,41.7,2.25,1.6,0
2014-12-28,1.6,0.0,21.3,3.84,-0.2,0
2014-12-29,-0.2,0.0,15.4,3.75,-0.5,0
2014-12-30,-0.5,0.0,11.7,3.36,1.8,0
2014-12-31,1.8,0.0,20.5,2.66,7.5,0
2015-01-01,7.5,1.0,34.3,0.9,7.9,0
2015-01-02,7.9,0.6,33.9,3.88,4.0,1
2015-01-03,4.0,11.4,18.4,0.43,2.2,0
2015-01-04,2.2,0.0,9.9,3.34,6.4,0
2015-01-05,6.4,0.0,14.3,1.8,6.4,0
2015-01-06,6.4,0.2,23.2,1.18,5.0,0
2015-01-07,5.0,0.0,30.5,2.58,8.4,1
2015-01-08,8.4,13.0,29.1,1.3,10.8,0
2015-01-09,10.8,0.3,38.3,3.05,9.4,0
2015-01-10,9.4,0.5,40.4,2.14,5.1,0
2015-01-11,5.1,0.0,27.0,4.23,9.5,1
2015-01-12,9.5,1.9,35.9,0.77,7.6,1
2015-01-13,7.6,8.8,31.7,2.97,4.2,1
2015-01-14,4.2,1.8,37.4,4.63,7.5,1
2015-01-15,7.5,10.8,45.9,3.75,3.8,0
2015-01-16,3.8,0.0,30.1,2.75,0.7,0
2015-01-17,0.7,0.7,17.9,3.57,1.1,1
2015-01-18,1.1,2.9,14.4,3.34,0.6,0
2015-01-19,0.6,0.0,13.0,4.15,0.3,0
2015-01-20,0.3,0.1,18.4,3.48,2.4,0
2015-01-21,2.4,0.7,22.1,1.68,1.2,0
2015-01-22,1.2,0.0,12.2,4.64,0.7,0
2015-01-23,0.7,0.9,23.0,4.74,4.0,1
2015-01-24,4.0,5.0,24.9,5.59,3.0,0
2015-01-25,3.0,0.0,19.6,5.08,6.9,0
2015-01-26,6.9,0.1,19.8,2.59,4.7,0
2015-01-27,4.7,0.0,15.9,4.41,5.8,1
2015-01-28,5.8,1.1,37.9,2.59,2.0,1
2015-01-29,2.0,1.6,27.4,4.61,1.9,0
2015-01-30,1.9,0.9,22.0,5.0,1.3,1
2015-01-31,1.3,2.0,28.9,3.58,2.0,0
2015-02-01,2.0,0.4,31.4,4.78,-1.2,0
2015-02-02,-1.2,0.0,13.3,5.55,0.8,1
2015-02-03,0.8,1.6,20.8,5.7,1.4,0
2015-02-04,1.4,0.0,21.3,3.84,1.4,1
2015-02-05,1.4,1.1,19.5,5.1,1.7,0
2015-02-06,1.7,0.0,29.8,6.3,2.9,0
2015-02-07,2.9,0.0,19.2,3.32,3.5,0
2015-02-08,3.5,0.0,19.1,5.42,3.5,0
2015-02-09,3.5,0.0,14.3,4.54,3.3,0
2015-02-10,3.3,0.0,8.4,4.07,3.6,0
2015-02-11,3.6,0.0,7.3,3.57,2.8,0
2015-02-12,2.8,0.0,9.4,3.39,5.4,1
2015-02-13,5.4,4.0,33.2,2.96,5.9,1
2015-02-14,5.9,5.5,16.1,3.8,5.7,0
2015-02-15,5.7,0.0,12.7,4.01,5.3,1
2015-02-16,5.3,7.3,20.7,2.83,3.8,0
2015-02-17,3.8,0.0,18.6,9.5,3.2,0
2015-02-18,3.2,0.0,19.1,8.43,5.6,1
2015-02-19,5.6,7.2,29.9,2.88,5.5,1
2015-02-20,5.5,3.1,16.4,3.93,2.1,0
2015-02-21,2.1,0.6,20.0,7.22,2.5,1
2015-02-22,2.5,6.7,34.2,5.52,5.3,0
2015-02-23,5.3,0.8,31.2,8.23,5.3,0
2015-02-24,5.3,0.0,31.3,8.13,6.4,0
2015-02-25,6.4,0.3,14.9,4.48,8.4,1
2015-02-26,8.4,3.8,23.0,1.54,3.9,0
2015-02-27,3.9,0.0,15.8,10.38,6.7,1
2015-02-28,6.7,2.3,30.8,1.82,8.1,1
2015-03-01,8.1,1.3,31.7,9.68,4.4,0
2015-03-02,4.4,0.0,34.2,11.45,4.3,0
2015-03-03,4.3,0.8,26.2,10.74,4.4,0
2015-03-04,4.4,0.1,24.7,10.52,4.2,0
2015-03-05,4.2,0.0,17.1,10.57,5.4,0
2015-03-06,5.4,0.0,22.0,11.13,8.3,0
2015-03-07,8.3,0.0,23.6,12.55,8.3,0
2015-03-08,8.3,0.0,20.3,6.29,6.8,0
2015-03-09,6.8,0.2,23.8,5.86,7.0,0
2015-03-10,7.0,0.0,16.4,13.02,6.0,0
2015-03-11,6.0,0.0,18.7,12.1,7.6,0
2015-03-12,7.6,0.0,20.0,12.91,7.1,0
2015-03-13,7.1,0.0,19.7,9.82,4.8,0
2015-03-14,4.8,0.0,22.7,6.99,5.5,0
2015-03-15,5.5,0.7,23.7,7.92,5.4,1
2015-03-16,5.4,2.3,13.9,7.28,6.4,1
2015-03-17,6.4,1.9,11.5,7.88,5.8,0
2015-03-18,5.8,0.0,16.9,12.18,6.0,0
2015-03-19,6.0,0.0,21.7,5.23,6.2,0
2015-03-20,6.2,0.0,14.6,13.42,6.5,0
2015-03-21,6.5,0.0,24.3,6.78,4.7,0
2015-03-22,4.7,0.0,16.9,10.68,4.8,0
2015-03-23,4.8,0.2,15.0,11.64,6.0,1
2015-03-24,6.0,2.9,14.5,12.41,4.2,0
2015-03-25,4.2,0.7,10.8,14.57,6.5,1
2015-03-26,6.5,6.1,26.3,9.63,6.8,0
2015-03-27,6.8,0.0,18.4,14.09,9.9,0
2015-03-28,9.9,0.0,32.1,5.05,10.0,1
2015-03-29,10.0,3.1,42.6,4.49,7.9,0
2015-03-30,7.9,0.0,33.5,14.52,9.6,1
2015-03-31,9.6,1.1,42.2,17.45,6.5,1
2015-04-01,6.5,1.6,28.5,14.85,7.8,1
2015-04-02,7.8,2.4,28.6,11.58,8.5,1
2015-04-03,8.5,4.8,14.6,3.92,7.5,0
2015-04-04,7.5,0.2,25.8,5.59,7.3,0
2015-04-05,7.3,0.0,7.9,8.88,7.8,0
2015-04-06,7.8,0.0,19.1,14.9,8.9,0
2015-04-07,8.9,0.0,7.6,18.17,9.8,0
2015-04-08,9.8,0.0,8.5,12.78,10.0,0
2015-04-09,10.0,0.0,7.9,18.14,11.0,0
2015-04-10,11.0,0.1,15.1,19.43,9.4,1
2015-04-11,9.4,1.3,25.5,14.15,9.0,0
2015-04-12,9.0,0.2,28.9,19.95,10.0,0
2015-04-13,10.0,0.0,13.9,12.15,12.0,0
2015-04-14,12.0,0.0,18.7,21.9,14.3,0
2015-04-15,14.3,0.0,15.1,22.11,10.8,0
2015-04-16,10.8,0.0,18.9,21.31,9.1,0
2015-04-17,9.1,0.0,22.0,19.3,8.6,0
2015-04-18,8.6,0.0,24.1,22.28,7.1,0
2015-04-19,7.1,0.0,18.8,13.03,9.3,0
2015-04-20,9.3,0.0,16.4,23.34,9.5,0
2015-04-21,9.5,0.0,17.5,23.94,9.2,0
2015-04-22,9.2,0.0,23.1,20.91,9.5,0
2015-04-23,9.5,0.0,11.2,20.38,10.6,0
2015-04-24,10.6,0.3,18.7,17.05,12.5,1
2015-04-25,12.5,4.9,22.6,14.46,9.1,1
